OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev,gcode,point,lat,lon
97,ROCKY MOUNTAIN CENTER FOR REPRODUCTIVE MEDICINE,,FORT COLLINS,COLORADO,"Kevin E. Bachus, MD",30,7,11,*,0.633,* / 7,* / 11,0 / *,0.4,* / 7,* / 11,0 / *,30,6,10,*,63.30%,* / 6,* / 10,0 / *,40.00%,* / 6,* / 10,0 / *,42,8,8,*,45.20%,* / 8,* / 8,0 / *,28.60%,* / 8,* / 8,0 / *,1.6,1.8,2.8,,64.30%,* / 5,* / 6,0 / *,67.90%,* / 5,* / 6,0 / *,67.90%,* / 5,* / 6,0 / *,1.1,1,1.3,1,1.4,1.4,0.8,1,7,0,*,0,7-May,,0 / *,,7-May,,0 / *,,72,31,16,12,131,0.00%,0 / 16,0 / 11,0 / 8,0.00%,5.60%,6.50%,* / 16,* / 12,6.10%,0.00%,0.00%,0 / 16,0 / 12,0.00%,0.00%,0.00%,0 / 15,0 / 11,0.00%,47.10%,51.70%,15-May,* / 11,45.50%,1,100.00%,15 / 15,11-Oct,99.20%,0,0.00%,0 / 15,0 / 11,0.00%,27%,2%,21%,0.31,1%,0%,0%,0.18,0%,2%,4%,2%,10%,Yes,No,Yes,No,No,Yes,Yes,0,CO,"Fort Collins, Larimer County, Colorado, United States","(40.5508527, -105.0668085, 0.0)",40.5508527,-105.0668085
98,CONCEPTIONS REPRODUCTIVE ASSOCIATES OF COLORADO,,LITTLETON,COLORADO,"Mark R. Bush, MD",279,159,147,91,0.491,35.80%,26.50%,8.80%,0.452,31.40%,23.80%,8.80%,270,147,133,79,50.70%,38.10%,29.30%,10.10%,46.70%,34.00%,26.30%,10.10%,198,92,61,17,69.20%,62.00%,63.90%,17-Aug,63.60%,54.30%,57.40%,17-Aug,2,2.8,3.8,11.4,55.50%,39.00%,37.00%,12.50%,59.60%,45.10%,48.10%,12.50%,61.00%,45.10%,48.10%,12.50%,1.2,1.2,1.3,1.2,0.8,0.6,0.5,0.2,0,*,97,14,,0 / *,66.00%,14-Aug,,0 / *,64.90%,14-Jun,497,333,271,214,1315,2.90%,3.60%,4.80%,6.90%,4.20%,2.70%,5.50%,5.70%,10.20%,5.20%,0.40%,0.00%,0.40%,0.00%,0.20%,3.10%,7.30%,1.60%,2.10%,3.70%,100.00%,98.20%,100.00%,100.00%,99.50%,0.958,98.80%,96.70%,95.80%,96.70%,0.946,97.60%,95.90%,92.70%,95.30%,15%,9%,11%,0.15,6%,8%,1%,0.39,51%,6%,10%,9%,9%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,CO,"Littleton, Arapahoe County, Colorado, United States","(39.613321, -105.0166498, 0.0)",39.613321,-105.0166498
99,COLORADO CENTER FOR REPRODUCTIVE MEDICINE,,LONE TREE,COLORADO,"William B. Schoolcraft, MD",401,344,382,378,0.601,52.60%,33.20%,13.00%,0.464,44.20%,26.70%,11.40%,390,324,354,351,61.80%,55.90%,35.90%,14.00%,47.70%,46.90%,28.80%,12.30%,343,276,196,79,70.30%,65.60%,64.80%,62.00%,54.20%,55.10%,52.00%,54.40%,1.7,1.9,3,7.7,66.80%,57.90%,40.90%,16.00%,69.70%,60.10%,45.30%,17.00%,71.40%,61.80%,49.60%,18.90%,1.1,1.2,1.4,1.6,0.9,0.8,0.5,0.2,6,*,193,13,6-May,* / *,63.70%,13-Sep,6-May,* / *,58.00%,13-Aug,959,925,899,855,3638,4.00%,2.90%,2.70%,8.80%,4.60%,2.00%,4.40%,5.80%,9.30%,5.20%,11.90%,13.90%,13.70%,8.70%,12.10%,3.90%,4.40%,7.70%,12.70%,7.00%,94.20%,98.70%,98.80%,98.50%,97.50%,0.924,90.20%,85.40%,73.40%,85.80%,0.777,88.00%,89.90%,88.30%,85.80%,30%,6%,5%,0.08,8%,4%,1%,0.37,52%,9%,55%,26%,8%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,*,CO,"Lone Tree, Douglas County, Colorado, United States","(39.5360997, -104.8963682, 0.0)",39.5360997,-104.8963682
100,CENTER FOR ADVANCED REPRODUCTIVE SERVICES,,FARMINGTON,CONNECTICUT,"John C. Nulsen, MD",388,248,215,173,0.611,43.50%,21.40%,8.70%,0.531,37.50%,17.70%,8.70%,361,219,176,135,65.70%,49.30%,26.10%,11.10%,57.10%,42.50%,21.60%,11.10%,411,218,137,76,57.70%,49.50%,33.60%,19.70%,50.10%,42.70%,27.70%,19.70%,1.6,2.3,4.7,11.5,66.70%,47.20%,30.40%,7.30%,74.30%,59.20%,36.70%,16.40%,75.90%,63.20%,44.30%,21.80%,1.2,1.4,1.6,1.5,1.1,0.9,0.7,0.5,0,26,42,0,,61.50%,38.10%,,,61.50%,38.10%,,717,445,386,364,1912,5.80%,9.50%,18.10%,22.40%,12.90%,8.80%,10.70%,15.10%,18.10%,12.10%,4.70%,2.20%,3.10%,2.20%,3.30%,1.10%,3.00%,1.30%,0.00%,1.40%,62.20%,70.30%,67.10%,62.80%,65.10%,0.76,84.40%,81.00%,80.40%,79.50%,0.182,27.50%,38.60%,38.50%,26.60%,29%,11%,11%,0.19,10%,29%,<1%,0.13,28%,11%,37%,3%,11%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,CT,"Farmington, Hartford County, Connecticut, United States","(41.7198216, -72.8320435, 0.0)",41.7198216,-72.8320435
101,"GREENWICH FERTILITY AND IVF CENTER, PC",,GREENWICH,CONNECTICUT,"Barry R. Witt, MD",91,74,99,68,0.571,59.50%,43.40%,10.30%,0.549,58.10%,42.40%,10.30%,88,69,91,54,59.10%,63.80%,47.30%,13.00%,56.80%,62.30%,46.20%,13.00%,97,73,64,13,53.60%,60.30%,67.20%,13-Jul,51.50%,58.90%,65.60%,13-Jul,1.8,1.7,2.3,9.7,63.10%,58.30%,52.10%,8.30%,70.80%,66.70%,62.50%,12.50%,70.80%,66.70%,64.60%,20.80%,1.2,1.1,1.4,1.8,1.1,1.1,0.7,0.2,0,10,27,0,,10-Jul,59.30%,,,10-Jul,59.30%,,180,177,160,128,645,5.90%,12.00%,12.00%,19.70%,12.00%,9.70%,10.10%,17.90%,15.70%,13.00%,4.40%,7.90%,5.60%,2.30%,5.30%,6.50%,21.10%,11.40%,22.00%,14.40%,77.80%,94.40%,90.00%,93.20%,87.80%,0.398,30.00%,50.00%,30.50%,37.60%,0.528,74.40%,87.10%,71.20%,69.40%,18%,3%,2%,0.08,<1%,1%,8%,0.33,40%,10%,7%,1%,23%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,CT,"Greenwich, Fairfield County, Connecticut, United States","(41.0264862, -73.6284598, 0.0)",41.0264862,-73.6284598
102,REPRODUCTIVE MEDICINE ASSOCIATES OF CONNECTICUT,,NORWALK,CONNECTICUT,"Mark P. Leondires, MD",273,197,218,177,0.509,43.70%,21.10%,10.70%,0.473,41.60%,20.20%,10.20%,256,180,191,152,54.30%,47.80%,24.10%,12.50%,50.40%,45.60%,23.00%,11.80%,285,160,98,36,48.80%,53.80%,46.90%,52.80%,45.30%,51.30%,44.90%,50.00%,2,2.3,4.7,9.3,54.10%,47.60%,20.70%,6.30%,62.20%,58.30%,33.70%,9.50%,65.10%,59.20%,37.00%,12.70%,1.2,1.3,1.7,1.6,1.1,0.9,0.5,0.2,5,9,168,19,* / 5,* / 9,66.70%,19-Sep,* / 5,* / 9,61.90%,19-Aug,671,480,410,517,2078,7.50%,12.60%,12.10%,16.40%,11.90%,7.80%,14.90%,16.70%,24.50%,15.20%,6.60%,6.70%,6.30%,2.30%,5.50%,8.50%,13.80%,10.40%,25.40%,13.60%,79.60%,84.90%,91.20%,91.70%,85.40%,0.737,62.50%,65.40%,60.00%,66.80%,0.48,61.20%,75.30%,64.90%,59.50%,22%,5%,11%,0.15,10%,66%,7%,0.35,43%,16%,73%,5%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CT,"Norwalk, Fairfield County, Connecticut, United States","(41.1175966, -73.4078968, 0.0)",41.1175966,-73.4078968
103,YALE FERTILITY CENTER,,ORANGE,CONNECTICUT,"Pasquale Patrizio, MD",132,90,91,96,0.583,40.00%,39.60%,6.30%,0.5,33.30%,37.40%,4.20%,119,71,82,78,64.70%,50.70%,43.90%,7.70%,55.50%,42.30%,41.50%,5.10%,155,76,67,48,49.70%,47.40%,53.70%,12.50%,42.60%,39.50%,50.70%,8.30%,1.7,2.5,2.5,16,62.60%,40.00%,42.20%,11.10%,70.30%,44.00%,55.60%,11.10%,74.70%,48.00%,60.00%,14.80%,1.3,1.3,1.4,2,1.2,0.9,0.8,0.4,0,9,18,*,,* / 9,18-Aug,* / *,,* / 9,18-Jun,* / *,257,196,166,188,807,8.40%,15.50%,14.70%,18.50%,14.00%,8.60%,13.50%,7.90%,20.50%,12.30%,9.30%,8.20%,10.20%,3.70%,7.90%,1.20%,4.60%,2.90%,4.80%,3.10%,60.10%,62.40%,56.30%,51.90%,58.10%,0.78,83.50%,72.80%,79.80%,78.50%,0.191,21.10%,16.50%,26.90%,20.70%,26%,4%,13%,0.11,6%,6%,1%,0.22,26%,8%,16%,7%,13%,No,No,Yes,Yes,Yes,Yes,Yes,0,CT,"Orange, New Haven County, Connecticut, 06477, United States","(41.2784304, -73.0256609, 0.0)",41.2784304,-73.0256609
104,NEW ENGLAND FERTILITY INSTITUTE,,STAMFORD,CONNECTICUT,"Gad Lavy, MD",35,33,32,30,0.571,36.40%,21.90%,3.30%,0.486,27.30%,18.80%,3.30%,34,32,25,28,58.80%,37.50%,28.00%,3.60%,50.00%,28.10%,24.00%,3.60%,26,28,19,8,76.90%,42.90%,19-Jul,* / 8,65.40%,32.10%,19-Jun,* / 8,1.8,2.8,4.6,30,69.60%,19-Aug,19-Jun,0 / 13,69.60%,19-Oct,19-Jun,0 / 13,69.60%,19-Oct,19-Jul,0 / 13,1.2,1.3,1.4,1.4,0.8,0.9,0.6,0.3,0,*,120,8,,* / *,58.30%,* / 8,,0 / *,49.20%,* / 8,112,105,105,230,552,11.40%,6.10%,14.70%,19.80%,14.90%,25.20%,22.30%,19.00%,22.60%,22.40%,0.00%,2.90%,4.80%,0.90%,1.80%,46.40%,59.60%,50.80%,71.30%,59.90%,89.30%,96.50%,91.80%,87.00%,90.30%,0.804,66.70%,59.00%,66.10%,67.50%,0.696,77.20%,57.40%,68.70%,68.20%,1%,<1%,<1%,<1%,1%,1%,17%,0.13,25%,1%,25%,24%,56%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,CT,"Stamford, Fairfield County, Connecticut, United States","(41.072089, -73.54443614832871, 0.0)",41.072089,-73.54443615
105,PARK AVENUE FERTILITY AND REPRODUCTIVE MEDICINE,,TRUMBULL,CONNECTICUT,"Andrew J Levi, MD",45,40,41,22,0.533,52.50%,26.80%,9.10%,0.489,42.50%,26.80%,9.10%,37,37,34,11,64.90%,56.80%,32.40%,* / 11,59.50%,45.90%,32.40%,* / 11,42,36,24,8,57.10%,58.30%,45.80%,* / 8,52.40%,47.20%,45.80%,* / 8,1.9,1.9,3.7,11,56.70%,56.50%,14-May,* / 11,63.30%,60.90%,14-Jul,* / 11,63.30%,69.60%,14-Jul,* / 11,1.3,1.3,1.4,1.6,0.9,0.9,0.5,0.4,*,0,16,0,* / *,,16-Jul,,* / *,,16-Jul,,91,55,59,79,284,12.50%,9.70%,35.10%,38.80%,24.80%,8.20%,9.60%,21.70%,23.30%,14.80%,0.00%,0.00%,3.40%,0.00%,0.70%,0.00%,0.00%,0.00%,6.90%,1.60%,81.60%,85.20%,73.90%,75.90%,79.70%,0.939,100.00%,95.70%,96.60%,96.10%,0.306,22.20%,39.10%,27.60%,29.70%,17%,3%,7%,0.04,1%,1%,0%,0.3,28%,5%,5%,2%,32%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,CT,"Trumbull, Fairfield County, Connecticut, United States","(41.2428742, -73.2006687, 0.0)",41.2428742,-73.2006687
106,"DELAWARE INSTITUTE FOR REPRODUCTIVE MEDICINE, PA",,NEWARK,DELAWARE,"Jeffrey B. Russell, MD",69,22,25,20,0.565,22.70%,16.00%,0.00%,0.536,22.70%,16.00%,0.00%,64,22,23,18,60.90%,22.70%,17.40%,0 / 18,57.80%,22.70%,17.40%,0 / 18,70,14,12,*,55.70%,14-May,* / 12,0 / *,52.90%,14-May,* / 12,0 / *,1.8,4.4,6.3,,61.80%,* / 11,* / 18,0 / 6,63.60%,* / 11,* / 18,0 / 6,63.60%,* / 11,* / 18,0 / 6,1.1,1.1,1.1,1.5,1.1,0.7,0.6,0.3,0,0,14,43,,,* / 14,23.30%,,,* / 14,23.30%,180,77,46,70,373,5.40%,0.00%,0.00%,30.80%,7.80%,33.00%,31.20%,28.30%,24.20%,30.50%,0.00%,0.00%,4.30%,0.00%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,98.00%,97.60%,95.80%,95.10%,97.10%,0.83,71.40%,75.00%,24.40%,68.10%,0.63,47.60%,58.30%,46.30%,56.00%,24%,19%,27%,0.08,2%,21%,1%,0.16,15%,2%,22%,1%,7%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,DE,"Newark, New Castle County, Delaware, United States","(39.6852191, -75.7508289, 0.0)",39.6852191,-75.7508289
107,RADFERTILITY,,NEWARK,DELAWARE,"Ronald F. Feinberg, MD, PhD",124,46,31,28,0.685,47.80%,38.70%,14.30%,0.669,47.80%,38.70%,14.30%,118,40,24,20,72.00%,55.00%,50.00%,20.00%,70.30%,55.00%,50.00%,20.00%,146,36,19,14,58.20%,61.10%,19-Dec,* / 14,56.80%,61.10%,19-Dec,* / 14,1.5,2.1,2.6,7,72.40%,19-Nov,19-Sep,* / 9,77.60%,15 / 19,19-Sep,* / 9,77.60%,16 / 19,19-Sep,* / 9,1.1,1.4,1.3,1.8,1.2,1,0.6,0.6,*,*,44,6,* / *,* / *,52.30%,* / 6,* / *,* / *,52.30%,* / 6,426,167,168,124,885,9.00%,11.90%,14.60%,26.00%,13.00%,18.80%,8.80%,17.40%,11.70%,15.70%,1.20%,0.00%,0.60%,0.00%,0.70%,2.10%,2.10%,1.30%,2.90%,2.10%,91.60%,93.80%,92.10%,91.30%,92.10%,0.958,87.50%,85.50%,68.10%,88.50%,0.483,59.40%,60.50%,53.60%,53.20%,36%,39%,35%,0.18,58%,1%,1%,0.29,26%,10%,9%,<1%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,DE,"Newark, New Castle County, Delaware, United States","(39.6852191, -75.7508289, 0.0)",39.6852191,-75.7508289
108,COLUMBIA FERTILITY ASSOCIATES,,WASHINGTON,DISTRICT OF COLUMBIA,"Preston Sacks, MD",71,80,61,138,0.451,27.50%,27.90%,8.70%,0.394,27.50%,27.90%,8.00%,65,72,55,104,49.20%,30.60%,30.90%,11.50%,43.10%,30.60%,30.90%,10.60%,69,70,45,68,46.40%,31.40%,37.80%,17.60%,40.60%,31.40%,37.80%,16.20%,2.2,3.6,3.6,11.5,45.20%,28.60%,35.50%,12.20%,52.40%,34.30%,45.20%,16.30%,54.80%,34.30%,45.20%,18.40%,1.2,1.4,1.3,1.5,1,0.9,0.8,0.5,*,5,34,*,* / *,* / 5,64.70%,* / *,* / *,* / 5,55.90%,* / *,101,175,228,236,740,5.40%,7.10%,16.80%,23.60%,15.20%,8.20%,12.00%,16.50%,18.30%,14.70%,16.80%,20.00%,12.30%,4.20%,12.20%,15.20%,6.80%,7.20%,17.00%,11.60%,89.10%,70.30%,62.70%,74.00%,72.30%,0.783,87.80%,80.70%,78.00%,81.20%,0.478,41.90%,34.90%,46.00%,42.20%,28%,1%,4%,0.13,2%,21%,4%,0.32,40%,5%,33%,<1%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,DC,"Washington, District of Columbia, United States","(38.8949924, -77.0365581, 0.0)",38.8949924,-77.0365581
109,GEORGE WASHINGTON UNIVERSITY MEDICAL FACULTY ASSOCIATES,,WASHINGTON,DISTRICT OF COLUMBIA,"David Frankfurter, MD",60,85,55,45,0.433,22.40%,20.00%,4.40%,0.383,21.20%,18.20%,4.40%,52,77,51,38,50.00%,24.70%,21.60%,5.30%,44.20%,23.40%,19.60%,5.30%,57,75,49,31,45.60%,25.30%,22.40%,6.50%,40.40%,24.00%,20.40%,6.50%,2.3,4.5,5,22.5,41.00%,27.70%,10.30%,* / 15,53.80%,38.30%,24.10%,* / 15,56.40%,38.30%,31.00%,* / 15,1.4,1.5,1.5,1.3,0.9,1,1,0.6,0,15,18,0,,15-Aug,18-May,,,15-Aug,18-May,,139,124,118,108,489,8.20%,11.10%,14.10%,17.80%,12.00%,9.80%,10.30%,12.80%,22.00%,13.30%,15.80%,20.20%,5.10%,1.90%,11.20%,0.00%,0.00%,0.00%,0.00%,0.00%,74.20%,67.20%,69.60%,61.30%,68.20%,0.773,76.10%,89.90%,67.70%,78.00%,0.167,14.90%,23.20%,12.90%,17.00%,18%,2%,4%,0.05,<1%,6%,0%,0.27,31%,5%,12%,1%,24%,Yes,No,Yes,Yes,No,Yes,Yes,0,DC,"Washington, District of Columbia, United States","(38.8949924, -77.0365581, 0.0)",38.8949924,-77.0365581
110,BOCAFERTILITY,,BOCA RATON,FLORIDA,"Moshe (Maurice) R. Peress, MD",44,20,19,12,0.545,60.00%,19-Jul,* / 12,0.523,55.00%,19-May,* / 12,43,20,19,11,55.80%,60.00%,19-Jul,* / 11,53.50%,55.00%,19-May,* / 11,48,21,17,5,50.00%,57.10%,17-Jul,* / 5,47.90%,52.40%,17-May,* / 5,1.8,1.7,2.7,4,54.50%,14-Jul,13-Jun,* / 8,57.60%,14-Oct,13-Jun,* / 8,60.60%,14-Oct,13-Jun,* / 8,1.1,1.2,1.2,1.3,1.2,1.1,0.8,0.4,0,*,36,*,,* / *,58.30%,* / *,,* / *,47.20%,* / *,86,49,35,83,253,0.00%,0.00%,0 / 16,6.30%,1.90%,3.50%,4.10%,5.70%,12.30%,6.80%,3.50%,8.20%,5.70%,0.00%,3.60%,17.80%,21.40%,* / 17,38.30%,26.30%,100.00%,100.00%,17 / 17,97.90%,99.30%,0.756,57.10%,* / 17,48.90%,56.20%,0.044,3.60%,* / 17,10.60%,7.30%,33%,3%,13%,0.5,10%,3%,15%,0.45,42%,1%,6%,1%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL,"Boca Raton, Palm Beach County, Florida, United States","(26.3586885, -80.0830984, 0.0)",26.3586885,-80.0830984
111,PALM BEACH FERTILITY CENTER,,BOCA RATON,FLORIDA,"Mark S. Denker, MD",39,21,28,17,0.359,28.60%,25.00%,0 / 17,0.256,19.00%,25.00%,0 / 17,36,18,26,14,38.90%,18-Jun,26.90%,0 / 14,27.80%,* / 18,26.90%,0 / 14,40,20,22,7,35.00%,30.00%,31.80%,0 / 7,25.00%,20.00%,31.80%,0 / 7,2.8,3.5,4,,34.40%,18-May,19-May,0 / 11,40.60%,18-Jun,19-May,0 / 11,40.60%,18-Jun,19-May,0 / 11,1.1,1.1,1.3,1.2,1.1,1,0.7,0.4,*,*,24,*,* / *,0 / *,33.30%,* / *,* / *,0 / *,29.20%,* / *,100,62,49,48,259,9.10%,10.30%,5.90%,4.30%,8.00%,25.50%,25.90%,21.30%,17.00%,23.20%,3.00%,1.60%,20.40%,4.20%,6.20%,5.90%,12.50%,* / 19,14.80%,11.60%,56.90%,62.50%,14 / 19,74.10%,64.30%,0.941,84.40%,19 / 19,70.40%,87.60%,0.255,21.90%,* / 19,44.40%,27.90%,53%,6%,14%,0.16,14%,3%,2%,0.49,31%,5%,11%,0%,<1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL,"Boca Raton, Palm Beach County, Florida, United States","(26.3586885, -80.0830984, 0.0)",26.3586885,-80.0830984
112,POLCZ FERTILITY CENTER,,BOYNTON BEACH,FLORIDA,"Tibor E. Polcz, MD",7,*,6,0,* / 7,* / *,* / 6,,* / 7,* / *,* / 6,,7,*,6,0,* / 7,* / *,* / 6,,* / 7,* / *,* / 6,,9,*,7,0,* / 9,* / *,* / 7,,* / 9,* / *,* / 7,,1.8,1,3,,* / *,,* / 6,,* / *,,* / 6,,* / *,,* / 6,,1.3,,1,,1.2,,1.2,,*,0,*,0,0 / *,,0 / *,,0 / *,,0 / *,,6,*,*,*,15,* / 5,0 / *,* / *,0 / *,* / 11,0 / 5,0 / *,0 / *,0 / *,0 / 13,0 / 6,0 / *,0 / *,0 / *,0 / 15,0 / 5,0 / *,0 / *,0 / *,0 / 13,* / 5,0 / *,* / *,* / *,* / 13,* / 5,* / *,0 / *,* / *,13-Jul,0 / 5,0 / *,0 / *,* / *,* / 13,15-Jun,0 / 15,* / 15,* / 15,15-Jun,0 / 15,0 / 15,* / 15,0 / 15,0 / 15,0 / 15,0 / 15,* / 15,Yes,Yes,Yes,Yes,Yes,No,Yes,0,FL,"Boynton Beach, Palm Beach County, Florida, United States","(26.5256179, -80.0666026, 0.0)",26.5256179,-80.0666026
113,FLORIDA FERTILITY INSTITUTE,,CLEARWATER,FLORIDA,"Mark D. Sanchez, MD",83,22,20,8,0.446,50.00%,40.00%,0 / 8,0.337,45.50%,40.00%,0 / 8,81,20,20,7,45.70%,55.00%,40.00%,0 / 7,34.60%,50.00%,40.00%,0 / 7,95,21,12,0,38.90%,52.40%,12-Aug,,29.50%,47.60%,12-Aug,,2.2,2,2.5,,48.50%,17-Aug,14-Jun,0 / 6,48.50%,17-Sep,14-Jun,0 / 6,48.50%,17-Sep,14-Jun,0 / 6,1.1,1.1,1.1,1.2,1.2,1,0.5,0,*,*,23,0,* / *,* / *,30.40%,,* / *,* / *,21.70%,,185,105,69,48,407,2.10%,3.30%,11.90%,10.30%,5.20%,6.00%,10.70%,4.70%,11.10%,7.60%,0.50%,1.90%,7.20%,0.00%,2.00%,4.20%,4.70%,2.60%,9.70%,4.80%,70.60%,65.60%,71.10%,54.80%,67.50%,0.891,76.60%,76.30%,74.20%,82.10%,0.261,29.70%,39.50%,32.30%,29.80%,50%,5%,21%,0.1,8%,<1%,<1%,0.22,33%,5%,10%,2%,7%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,FL,"Clearwater, Pinellas County, Florida, United States","(27.9658533, -82.8001026, 0.0)",27.9658533,-82.8001026
114,CONCEPTIONS FLORIDA: CENTER FOR FERTILITY AND GENETICS,,CORAL GABLES,FLORIDA,"Armando E. Hernandez-Rey, MD",86,49,43,42,0.5,36.70%,23.30%,11.90%,0.477,32.70%,18.60%,11.90%,78,42,36,33,55.10%,42.90%,27.80%,15.20%,52.60%,38.10%,22.20%,15.20%,87,34,19,17,49.40%,52.90%,19-Oct,17-May,47.10%,47.10%,19-Aug,17-May,2,2.7,4.3,8.4,50.70%,40.00%,18.20%,14.30%,53.70%,50.00%,31.80%,17.90%,55.20%,50.00%,31.80%,17.90%,1.1,1.2,1.5,1.2,1,0.7,0.4,0.4,*,13,28,0,* / *,* / 13,53.60%,,* / *,* / 13,50.00%,,173,131,92,113,509,3.60%,10.60%,15.30%,11.90%,9.70%,7.60%,7.30%,7.20%,7.50%,7.50%,6.40%,10.70%,7.60%,0.00%,6.30%,8.30%,6.30%,0.00%,3.80%,5.70%,98.80%,93.80%,100.00%,75.00%,92.20%,0.333,35.90%,26.70%,34.60%,33.50%,0.286,53.10%,50.00%,25.00%,37.40%,19%,6%,8%,0.1,4%,43%,1%,0.5,44%,1%,49%,4%,1%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,FL,"Coral Gables, Miami-Dade County, Florida, United States","(25.72149, -80.2683838, 0.0)",25.72149,-80.2683838
115,"SOUTHWEST FLORIDA FERTILITY CENTER, PA",,FORT MYERS,FLORIDA,"Jacob L. Glock, MD",25,25,16,6,0.48,32.00%,* / 16,0 / 6,0.32,24.00%,* / 16,0 / 6,25,25,14,5,48.00%,32.00%,* / 14,0 / 5,32.00%,24.00%,* / 14,0 / 5,28,24,15,*,42.90%,33.30%,* / 15,0 / *,28.60%,25.00%,* / 15,0 / *,2.1,3.1,5.3,,45.00%,16-Jun,* / 8,0 / 5,50.00%,16-Jun,* / 8,0 / 5,50.00%,16-Jul,* / 8,0 / 5,1.1,1.3,1.3,1.2,1.1,1,0.9,0.7,0,0,*,*,,,* / *,* / *,,,0 / *,* / *,37,14,19,13,83,0.00%,* / 11,* / 13,* / 8,7.70%,2.70%,0 / 13,* / 18,0 / 10,3.80%,2.70%,0 / 14,0 / 19,0 / 13,1.20%,0.00%,0 / 13,0 / 15,0 / 8,0.00%,11.40%,* / 13,15-Jun,8-May,25.40%,1,13 / 13,15 / 15,8-Aug,100.00%,0,* / 13,0 / 15,0 / 8,1.40%,23%,7%,24%,0.16,0%,4%,0%,0.2,4%,1%,0%,0%,27%,Yes,No,Yes,Yes,Yes,No,Yes,0,FL,"Fort Myers, Lee County, Florida, United States","(26.640628, -81.8723084, 0.0)",26.640628,-81.8723084
